permutation,delta_mae
632,0.47563398789040434
633,-0.5232517885688193
634,-1.692579034067009
635,-6.79258111741008
636,-0.1581944208616175
637,-0.23902981013599156
638,-3.134179118056311
639,0.06429758525887408
640,-1.6038457123682246
641,-0.6659872749475699
642,-4.466668146749003
643,-2.921932949003102
644,0.22835855791445958
645,-0.6192458360381332
646,-3.8695562617914767
647,-0.08275122054668671
648,0.04263662499630616
649,-0.24342712967848978
650,0.4672141298496033
651,-4.654535324356747
652,-6.487472409284035
653,0.9126958561083143
654,-0.5517681352051946
655,-0.11029564047106621
656,-1.895727604738223
657,-1.2906913264102595
658,1.0686402633102832
659,-1.4472189185211164
660,-2.560955429320881
661,-0.9342177537248091
662,0.002321997217659799
663,-0.4346130497237146
664,-2.7617726358102512
665,0.23222471468218675
666,-0.6512837190436809
667,-0.2722367149610747
668,-1.2374562940022837
669,-1.0167772159555675
670,-2.105612880403662
671,-0.4714899886621646
672,-2.3710884922273436
673,-1.3095930463082421
674,-0.6354612897113983
675,-2.2935529175523204
676,-0.5078504008829618
677,-0.14107937342427945
678,-0.6463999771650801
679,-0.4177528303084257
680,0.5725335859515139
681,-0.17695104407703877
682,-0.2698683296833835
683,-1.3822641065803083
684,0.6293957204816785
685,-0.19425658805209878
686,-5.309248110038144
687,0.817015519497545
688,-1.7446436118640385
689,-4.087926952747521
690,-0.586619351053546
691,-0.35345706358995965
692,-0.0041627075449834905
693,0.8842793191421068
694,-0.4189235903322235
695,-2.862393224594504
696,-2.9236348424620147
697,-5.018704413686475
698,-3.750250616253213
699,0.25965525613658436
700,-1.0053067876735913
701,-3.1888954677076633
702,-0.7814026900882372
703,-2.4455997137429666
704,0.07255417352860505
705,0.5147414376730755
706,-1.8851586970720806
707,-1.422864811394403
708,-2.0818864586932246
709,0.5886716101965543
710,0.4316817098482879
711,0.7807905548139233
712,-0.9052223404847624
713,-0.4711802827650766
714,-0.21214581667702515
715,0.3164102469546295
716,0.7511587157303765
717,-2.9566278861945356
718,0.03522172234258569
719,-4.7838616825229785
720,-1.2434284779919498
721,0.0450781379191465
722,-0.7598575461245769
723,-0.2856339757084765
724,-0.45013741945280294
725,-0.4854795789659203
726,-0.4630390522121779
727,0.9373775025906932
728,-0.12481012097827815
729,-2.865155680631588
730,0.9513136606873172
731,0.4440582390791832
732,-0.48080264358692215
733,-0.6044751458993431
734,-2.049037600513339
735,0.4121717840877066
